313437,2009-02-11T11:33:30Z,2009-03-16T23:09:47Z
313438,2009-02-11T11:33:43Z,2009-03-16T23:09:48Z
313455,2009-02-11T11:38:55Z,2009-03-16T23:09:49Z
313505,2009-02-11T11:55:30Z,2009-03-16T23:09:52Z
313506,2009-02-11T11:55:49Z,2009-03-16T23:09:53Z
313509,2009-02-11T11:57:36Z,2009-03-16T23:09:54Z
313511,2009-02-11T11:58:40Z,2009-03-16T23:09:56Z
313512,2009-02-11T11:58:55Z,2009-03-16T23:09:56Z
313490,2009-02-11T11:50:17Z,2009-03-16T23:09:58Z
313492,2009-02-11T11:50:59Z,2009-03-16T23:10:00Z
313493,2009-02-11T11:51:15Z,2009-03-16T23:10:00Z
313496,2009-02-11T11:52:11Z,2009-03-16T23:10:01Z
313501,2009-02-11T11:54:09Z,2009-03-16T23:10:02Z
313504,2009-02-11T11:54:53Z,2009-03-16T23:10:03Z
313523,2009-02-11T12:03:28Z,2009-03-16T23:10:05Z
313525,2009-02-11T12:04:25Z,2009-03-16T23:10:05Z
313527,2009-02-11T12:06:09Z,2009-03-16T23:10:06Z
313529,2009-02-11T12:06:48Z,2009-03-16T23:10:08Z
313530,2009-02-11T12:07:07Z,2009-03-16T23:10:08Z
313532,2009-02-11T12:08:07Z,2009-03-16T23:10:10Z
313516,2009-02-11T12:00:59Z,2009-03-16T23:10:10Z
313566,2009-02-11T12:20:39Z,2009-03-16T23:10:12Z
313569,2009-02-11T12:22:00Z,2009-03-16T23:10:13Z
313625,2009-02-11T12:39:04Z,2009-03-16T23:10:15Z
313699,2009-02-11T13:04:37Z,2009-03-16T23:10:15Z
313702,2009-02-11T13:05:50Z,2009-03-16T23:10:16Z
313716,2009-02-11T13:10:55Z,2009-03-16T23:10:17Z
313717,2009-02-11T13:11:03Z,2009-03-16T23:10:18Z
313719,2009-02-11T13:11:25Z,2009-03-16T23:10:19Z
313720,2009-02-11T13:11:43Z,2009-03-16T23:10:20Z
313753,2009-02-11T13:23:12Z,2009-03-16T23:10:21Z
313754,2009-02-11T13:23:20Z,2009-03-16T23:10:21Z
313755,2009-02-11T13:23:29Z,2009-03-16T23:10:22Z
313757,2009-02-11T13:24:10Z,2009-03-16T23:10:23Z
313758,2009-02-11T13:24:44Z,2009-03-16T23:10:24Z
313782,2009-02-11T13:33:48Z,2009-03-16T23:10:27Z
313783,2009-02-11T13:34:04Z,2009-03-16T23:10:28Z
313787,2009-02-11T13:35:46Z,2009-03-16T23:10:31Z
313766,2009-02-11T13:27:51Z,2009-03-16T23:10:33Z
313767,2009-02-11T13:28:09Z,2009-03-16T23:10:34Z
313768,2009-02-11T13:28:26Z,2009-03-16T23:10:35Z
313770,2009-02-11T13:28:52Z,2009-03-16T23:10:36Z
313771,2009-02-11T13:29:03Z,2009-03-16T23:10:36Z
313776,2009-02-11T13:30:23Z,2009-03-16T23:10:38Z
313779,2009-02-11T13:31:40Z,2009-03-16T23:10:39Z
313790,2009-02-11T13:36:21Z,2009-03-16T23:10:40Z
313798,2009-02-11T13:38:22Z,2009-03-16T23:10:42Z
313801,2009-02-11T13:39:18Z,2009-03-16T23:10:43Z
313804,2009-02-11T13:40:09Z,2009-03-16T23:10:45Z
313805,2009-02-11T13:40:20Z,2009-03-16T23:10:45Z
313810,2009-02-11T13:41:59Z,2009-03-16T23:10:48Z
313811,2009-02-11T13:42:11Z,2009-03-16T23:10:49Z
313812,2009-02-11T13:42:22Z,2009-03-16T23:10:49Z
313813,2009-02-11T13:42:33Z,2009-03-16T23:10:50Z
313814,2009-02-11T13:42:43Z,2009-03-16T23:10:51Z
314186,2009-02-11T15:58:31Z,2009-03-16T23:10:53Z
314190,2009-02-11T15:59:26Z,2009-03-16T23:10:53Z
314191,2009-02-11T15:59:49Z,2009-03-16T23:10:54Z
314196,2009-02-11T16:01:51Z,2009-03-16T23:10:55Z
314197,2009-02-11T16:02:04Z,2009-03-16T23:10:56Z
314203,2009-02-11T16:03:48Z,2009-03-16T23:10:57Z
314170,2009-02-11T15:52:56Z,2009-03-16T23:10:59Z
314176,2009-02-11T15:55:28Z,2009-03-16T23:10:59Z
314180,2009-02-11T15:56:50Z,2009-03-16T23:11:01Z
314181,2009-02-11T15:57:00Z,2009-03-16T23:11:01Z
314182,2009-02-11T15:57:12Z,2009-03-16T23:11:02Z
314188,2009-02-11T15:58:52Z,2009-03-16T23:11:04Z
314189,2009-02-11T15:59:03Z,2009-03-16T23:11:05Z
314192,2009-02-11T16:00:05Z,2009-03-16T23:11:05Z
314199,2009-02-11T16:02:37Z,2009-03-16T23:11:06Z
